reading file output.json
+------------------------------------------------------+--------------+
| JavaFile                                             | BackendCalls |
+------------------------------------------------------+--------------+
| TQGIS.view.claim.ClaimsDAO                           |     117      |
| TQGIS.view.policies.ViewPolicies                     |     107      |
| TQGIS.view.policies.PolicyDAO                        |     102      |
| TQGIS.view.accounts.AccountsTransDAO                 |      93      |
| TQGIS.view.claim.CaptureClaim                        |      74      |
| TQGIS.view.certificates.CertDAO                      |      59      |
| TQGIS.view.setup.ClassDAO                            |      57      |
| TQGIS.view.quotations.QuotationDAO                   |      48      |
| TQGIS.view.product.ProductDAO                        |      48      |
| TQGIS.view.reinsurance.RecordManipulation            |      42      |
| TQGIS.view.quotations.viewQuote                      |      40      |
| TQGIS.view.ClientDetails.MainClientDAO               |      40      |
| TQGIS.view.setup.ClaimSetupDAO                       |      39      |
| TQGIS.view.quotations.QuotationAddDetails            |      38      |
| TQGIS.view.setup.ReinsuranceDAO                      |      36      |
| TQGIS.view.accounts.InsPaymentBack                   |      34      |
| TQGIS.view.quotations.QuoteSlipManipulation          |      33      |
| TQGIS.view.policies.PolicyAddDetails                 |      32      |
| TQGIS.view.ClientDetails.BaseClientBacking           |      32      |
| TQGIS.view.policies.PolicySearch                     |      31      |
| TQGIS.view.usetup.LoadPolicyBack                     |      30      |
| TQGIS.view.setup.ProductionBudgetDAO                 |      30      |
| TQGIS.view.setup.AuxillarySetUps                     |      28      |
| TQGIS.view.policies.PoliciesBusines                  |      28      |
| TQGIS.view.ClientDetails.OrganizationDAO             |      28      |
| TQGIS.view.BPM.BPMProcessing                         |      28      |
| TQGIS.view.usetup.LoadPolicyDAO                      |      27      |
| TQGIS.view.base.SettingsDAO                          |      27      |
| TQGIS.view.Reports.ReportEngine                      |      24      |
| TQGIS.view.setup.AgentsDAO                           |      23      |
| TQGIS.view.base.Rendering                            |      23      |
| TQGIS.view.users.UserDAO                             |      22      |
| TQGIS.view.policies.RenewalsManipulation             |      22      |
| TQGIS.view.ClientDetails.BaseSetupDAO                |      22      |
| TQGIS.view.correspondents.CorrespondenceManipulation |      21      |
| TQGIS.view.accounts.PaymentsBack                     |      21      |
| TQGIS.view.setup.XolTreatyBack                       |      20      |
| TQGIS.view.setup.ReinsuranceBack                     |      20      |
| TQGIS.view.reinsurance.ReinsuranceTransDAO           |      19      |
| TQGIS.view.setup.SectionDAO                          |      18      |
| TQGIS.view.setup.BaseAccountDAO                      |      18      |
| TQGIS.view.Valuation.ValuationManipulation           |      18      |
| TQGIS.view.LettersMemos.LettersDAO                   |      18      |
| TQGIS.view.setup.ClassBacking                        |      17      |
| TQGIS.view.policies.EditPolicyRisk                   |      17      |
| TQGIS.view.policies.EditPolicies                     |      17      |
| TQGIS.view.accounts.MiscTransBacking                 |      17      |
| TQGIS.view.Valuation.ValuationsDAO                   |      17      |
| TQGIS.view.LettersMemos.LetterMemoManip              |      16      |
| TQGIS.view.BPM.BPMDAO                                |      16      |
| TQGIS.view.usetup.PreDebitDAO                        |      15      |
| TQGIS.view.setup.CoverDAO                            |      15      |
| TQGIS.view.setup.ClausesDAO                          |      15      |
| TQGIS.view.setup.BudgetBackEnd                       |      15      |
| TQGIS.view.setup.AuxillaryBack                       |      15      |
| TQGIS.view.policies.UwPolicies                       |      15      |
| TQGIS.view.base.Transactions                         |      14      |
| TQGIS.view.base.ISession                             |      14      |
| TQGIS.view.claim.CourtCaseBean                       |      13      |
| TQGIS.view.reinsurance.GroupReinsure                 |      12      |
| TQGIS.view.setup.BaseAccountsBacking                 |      11      |
| TQGIS.view.accounts.AllocateDebit                    |      11      |
| TQGIS.view.setup.SessionExpFilter                    |      10      |
| TQGIS.view.setup.PerilDAO                            |      10      |
| TQGIS.view.alerts.StatementsAutoSenderJob            |      10      |
| TQGIS.view.ClientDetails.MainAccountsDAO             |      10      |
| TQGIS.view.ClientDetails.DivisionsDAO                |      10      |
| TQGIS.view.BPM.TicketProcessing                      |      10      |
| TQGIS.view.reinsurance.GroupReinsureBack             |      9       |
| TQGIS.view.groupPolicies.groupPolicyDao              |      9       |
| TQGIS.view.clientDiscount.ClientDiscountBack         |      9       |
| TQGIS.view.claim.CaptureClaimCt                      |      9       |
| TQGIS.view.alerts.clientsSms                         |      9       |
| TQGIS.view.accounts.AllocationBacking                |      9       |
| TQGIS.view.Reports.statementReports                  |      9       |
| TQGIS.view.OtherSetups.AdminFeeManipulation          |      9       |
| TQGIS.view.trans.TransactionDAO                      |      8       |
| TQGIS.view.setup.PerilsBack                          |      8       |
| TQGIS.view.setup.CoverBack                           |      8       |
| TQGIS.view.setup.ClaimsBacking                       |      8       |
| TQGIS.view.policies.PolicyUwDAO                      |      8       |
| TQGIS.view.certificates.CertOrdersBacking            |      8       |
| TQGIS.view.certificates.CertDeliveries               |      8       |
| TQGIS.view.budgets.Budgets                           |      8       |
| TQGIS.view.setup.SequenceDAO                         |      7       |
| TQGIS.view.setup.ScreenDAO                           |      7       |
| TQGIS.view.setup.ScreenBacking                       |      7       |
| TQGIS.view.reinsurance.XOLProcessBean                |      7       |
| TQGIS.view.reinsurance.BaseReinsuranceDAO            |      7       |
| TQGIS.view.policies.limitsManipulaton                |      7       |
| TQGIS.view.claim.ClaimTasks                          |      7       |
| TQGIS.view.certificates.CertPrinting                 |      7       |
| TQGIS.view.accounts.UprDAO                           |      7       |
| TQGIS.view.ExcelImportation.CSVtoADFTableProcessor   |      7       |
| TQGIS.view.utilities.emailDAO                        |      6       |
| TQGIS.view.setup.ClauseBack                          |      6       |
